Comment,Designator,Footprint,LCSC
"47µ/25","C10","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm",""
"470n/400","C11","Capacitor_THT:C_Rect_L26.5mm_W6.0mm_P22.50mm_MKS4",""
"1/50","C12","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"2200µ/200V","C13,C14,C15,C16","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn",""
"27n/300V","C17,C18","Capacitor_THT:C_Rect_L19.0mm_W6.0mm_P15.00mm_MKS4",""
"10n","C19","Capacitor_THT:C_Rect_L4.6mm_W3.8mm_P2.50mm_MKS02_FKP02",""
"15µ/25","C2","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"4.7µ/50","C20","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"100n","C22","Capacitor_THT:C_Rect_L9.0mm_W4.0mm_P7.50mm_MKT",""
"33µ/35","C23","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"680µ/200V","C24,C25,C28,C29","Capacitor_THT:CP_Radial_D22.0mm_P10.00mm_SnapIn",""
"470µ/35","C7,C21,C26,C27","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"47µ/35","C30,C31","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"100n/100","C32,C33","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"10µ/35","C34,C35","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"470n","C36,C37","Capacitor_THT:C_Rect_L7.2mm_W11.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"Y2 1n2/500","C1,C3,C4,C5,C6,C9","Capacitor_THT:C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3",""
"X2 220n/400","C8","Capacitor_THT:C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3",""
"8V2","D1,D11","Diode_THT:D_DO-15_P12.70mm_Horizontal",""
"1N4148","D6,D7,D10,D12,D13,D22,D24","Diode_THT:D_DO-15_P10.16mm_Horizontal",""
"MUR1620CTG","D16","Package_TO_SOT_THT:TO-220-3_Vertical",""
"MUR1620CTRG","D17","Package_TO_SOT_THT:TO-220-3_Vertical",""
"MUR120","D14,D15,D18,D19,D20,D21","Diode_THT:D_DO-15_P15.24mm_Horizontal",""
"1N4001","D25,D26","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"1N4004","D2,D3,D4,D5","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"KBU8J","D8","Diode_THT:Diode_Bridge_Vishay_KBL",""
"15V","D9,D23","Diode_THT:D_DO-15_P12.70mm_Horizontal",""
"T6A","F1","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",""
