Comment,Designator,Footprint,LCSC
"10µ/25V","C1,C4,C5,C7,C8,C13","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"100n","C10","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"47p","C12","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"0.1µ","C2","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"470p","C3","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"10n","C6,C9,C11","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"MURS120","D1","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",""
"1N4148","D2,D3,D4,D5","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",""
"Conn_01x14_Male","J1","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Horizontal",""
"BC546","Q1,Q2","Package_TO_SOT_THT:TO-92_Inline",""
"MPSA92","Q3","Package_TO_SOT_THT:TO-92_Inline",""
"150k 0.5W","R1,R2,R3","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical",""
"10k","R11,R14,R16,R18,R19,R20,R21,R22,R27","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"21k","R12","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"5k6","R13","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"330","R15","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"470k","R24","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"22 0,5W","R26","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"12k","R4,R17,R23,R25","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"47k","R5,R7,R8","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"56k","R6","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"560","R9,R10","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"LM393","U1","Package_DIP:DIP-8_W7.62mm_LongPads",""
"SG3525","U2","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"IR2110","U3","Package_DIP:DIP-14_W7.62mm",""
